project,session_id,source,primary_model,pricing_tier,turns,user_messages,assistant_messages,tool_uses_total,task_subagents,thinking_blocks,thinking_chars,input_tokens,output_tokens,cache_creation_tokens,cache_read_tokens,cache_creation_5m,cache_creation_1h,cache_hit_ratio,estimated_cost_usd,first_ts,last_ts,sidechain_records
-Users-alekdob,372ce54c-b918-452a-af77-f1d65526730e,cli,claude-opus-4-8,opus,83,83,182,75,1,59,0,44606,275399,633194,19206015,0,633194,0.9659,20.6685,2026-06-01T14:41:19.109Z,2026-06-01T15:23:30.340Z,0
-Users-alekdob,9082cb19-5a0a-4ac8-98ec-3865fe997199,cli,<synthetic>,opus-fallback,4,4,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,2026-06-17T14:45:42.565Z,2026-06-17T14:46:19.076Z,0
-Users-alekdob-Desktop-Dev-Personal-Kyron,040dfee9-12ed-4c28-a03a-6324b01522b8,cli,claude-opus-4-8,opus,266,266,544,240,3,158,0,337176,1637928,13207141,186238342,0,13207141,0.9322,218.2979,2026-06-05T09:05:10.877Z,2026-06-05T16:24:50.308Z,0
-Users-alekdob-Desktop-Dev-Personal-Kyron,06f86aee-eb6f-4350-8b1d-422e8efa1f78,cli,claude-fable-5,opus-fallback,270,270,475,254,3,177,0,260398,464267,5065478,121858399,45625,5019853,0.9581,105.4971,2026-06-10T13:49:37.394Z,2026-06-10T18:03:27.018Z,0
-Users-alekdob-Desktop-Dev-Personal-Kyron,09e59df9-7df3-4531-b6e9-02e32d848aba,cli,claude-fable-5,opus-fallback,56,56,105,44,0,41,0,113798,46728,275300,9868534,0,275300,0.9621,8.3921,2026-06-12T15:55:04.764Z,2026-06-12T16:23:05.465Z,0
-Users-alekdob-Desktop-Dev-Personal-Kyron,0b87bc7a-92ca-48d4-af61-50ef483ae2db,cli,claude-opus-4-8,opus,38,38,73,35,0,16,0,108692,36188,511659,5433581,0,511659,0.8975,7.3628,2026-06-08T12:37:24.183Z,2026-06-08T12:55:16.296Z,0
-Users-alekdob-Desktop-Dev-Personal-Kyron,0db881bc-beae-414b-a9aa-bb46e0d1c2f5,cli,claude-fable-5,opus-fallback,44,44,81,34,0,32,0,129036,40838,593674,8031894,0,593674,0.9174,9.3925,2026-06-11T08:55:49.527Z,2026-06-11T10:47:21.989Z,0
-Users-alekdob-Desktop-Dev-Personal-Kyron,0f665b2f-7ded-47fc-9192-dfae1244e1cd,cli,claude-fable-5,opus-fallback,234,234,431,196,2,175,0,338532,333056,4606849,99344253,0,4606849,0.9526,88.484,2026-06-11T14:35:23.249Z,2026-06-12T13:18:43.221Z,0
-Users-alekdob-Desktop-Dev-Personal-Kyron,1119b247-1794-4cbd-b344-b3e45ed6814e,cli,claude-opus-4-8,opus,668,668,1364,578,4,388,0,961204,2758142,21002960,339147330,0,21002960,0.9392,374.6017,2026-06-13T17:48:27.107Z,2026-06-15T08:07:44.342Z,0
-Users-alekdob-Desktop-Dev-Personal-Kyron,12393a17-9d5c-4267-b059-7ef741e234cd,cli,claude-opus-4-8,opus,102,102,225,98,0,65,0,473298,596749,3507079,47569004,0,3507079,0.9228,62.989,2026-06-14T07:40:10.502Z,2026-06-14T12:21:23.077Z,0
